snapshot_date,referrer,count,uniques
2026-09-07,github.com,15,6
2026-09-07,runagentic.dev,11,7
2026-09-07,Google,7,6
2026-09-07,chatgpt.com,2,2
2026-09-07,news.ycombinator.com,1,1
